"","id","latitude","longitude","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id"
"128",3925407,46.3453128934,7.0043416601,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"129",3940829,44.5086250305,9.9263086319,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"130",3952246,46.9930682984,7.5095983408,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"131",3959758,51.5879200612,21.9740250344,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"132",4004314,44.9250002778,7.0657022222,"Grande ortie","Urtica dioica","stinging nettle","Plantae",51884
"133",4026501,49.227183,7.003977,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"134",4031252,47.2181926873,8.6823635548,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"135",4062578,44.7147894,20.5199397,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"136",4087334,50.1053695679,8.7133932114,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"137",4121629,46.4164997637,9.1319561005,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"138",4138893,46.2067607465,6.1129690893,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"139",4156858,46.981721,7.489277,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"140",4181080,46.7886861111,6.6232833333,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"141",4205575,54.6632537,25.2837431,"Grande ortie","Urtica dioica","stinging nettle","Plantae",51884
"142",4218352,47.795221944,8.823028056,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"143",4222623,47.0256866667,6.9919383333,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"144",4222920,47.001142,6.954791,"Stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"145",4223036,47.001142,6.954791,"Stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"146",4223266,47.000773,6.950741,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"147",4231228,46.1663755379,8.8719749451,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"148",4239625,51.477019,-0.230025,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"149",4253294,50.8906766667,6.9901416667,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"150",4275300,51.476752,-0.235133,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"151",4284625,45.5365970238,9.2162650726,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"152",4290027,42.9061603547,-1.0868654586,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"153",4303837,55.0975528333,-1.7497666667,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"154",4306311,51.219572,-1.489012,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"155",4318230,46.340909286,7.0009777534,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"156",4318248,46.3410558605,7.0010047983,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"157",4318345,46.3411474228,7.001711335,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"158",4319174,46.3449304976,6.9937047735,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"159",4342180,50.0491867065,14.421423912,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"160",4383566,41.4970205871,13.1890040245,"Grande ortie","Urtica dioica","stinging nettle","Plantae",51884
"161",4405209,41.471206665,13.1787824631,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"162",4421228,41.5373878478,12.9832162856,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"163",4450186,49.414118471,8.671167599,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"164",4451572,43.6578297,25.360575,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"165",4455196,49.4139230345,8.6710670963,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"166",4499381,45.7887738383,8.7258696556,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"167",4517484,51.93323153,4.45047269,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"168",4525547,44.87154207,7.6836198941,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"169",4531498,42.2280426025,11.8795108794,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"170",4532679,43.713500793,7.2830665112,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"171",4541672,46.1643321306,8.8647973537,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"172",4554349,59.879041,17.627375,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"173",4576164,46.0412632151,8.7375932337,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"174",4582079,49.1997871399,16.4819221497,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"175",4630882,49.312657,8.554702,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"176",4775205,49.302975,8.532987,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"177",4782516,46.1711605291,8.9193749428,"Stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"178",4826587,41.5803621424,12.9539318383,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"179",4853231,36.7160916667,-4.4252361111,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"180",4858343,40.95460754,-4.13389586,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"181",4858907,45.218695,10.234785,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"182",4861889,46.1874590671,8.8887012005,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"183",4923363,43.48477128,11.84401284,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"184",4927871,38.9197716667,-1.72702,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"185",4974600,56.0474875991,-2.7159833908,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"186",5000723,49.227158,7.004031,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"187",5005302,43.76227438,11.24784693,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"188",5008557,49.227329,7.00372,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"189",5167749,51.4735800215,-0.2954008989,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"190",5304123,49.721758,6.1246338,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"191",5306154,45.1197796,10.2010615,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"192",5308005,53.1712156271,-1.6121149063,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"193",5392908,57.7435053542,11.9617938995,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"194",5432829,51.5021666667,-0.1322583333,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"195",5442752,43.73012558,11.02243659,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"196",5445271,45.1820983887,8.2683410645,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"197",5451056,44.1368418112,12.240778572,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"198",5455042,48.3463897705,20.0105552673,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"199",5463566,50.1086845398,8.6962852478,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"200",5463882,50.837895,4.33468285,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"201",5486507,48.80304472,9.18947032,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"202",5487996,44.7431289184,11.9856380671,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"203",5507429,45.2219061507,10.246328786,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"204",5524902,51.4799931293,-0.1546669225,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"205",5527136,44.8823436758,7.7020243154,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"206",5599265,45.9997533333,11.3145966667,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"207",5611620,52.5267660292,0.276484536,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"208",5612847,51.7358697625,-1.3107155822,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"209",5621680,45.118098559,10.536425694,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"210",5673494,47.3866580666,8.5280688107,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"211",5686590,48.7479029,7.0916836,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"212",5902533,52.2164176824,0.0947179366,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"213",5907339,46.3374735089,7.0150018483,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"214",5950026,51.42350191,12.2242807,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"215",6006611,47.0002527778,6.9363416667,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"216",6026602,38.1700109919,-7.0298965536,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"217",6072866,46.1276568747,7.07639679,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"218",6137527,46.3447117433,6.9947875477,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"219",6137538,46.3446823229,6.9948135316,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"220",6149344,47.2214897024,8.6832035054,"Stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"221",6149538,47.22196454,8.68357798,"Stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"222",6168395,59.36842,18.0667916667,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"223",6168579,57.0178606566,-2.1792497634,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"224",6191499,47.6613333333,9.4768033333,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"225",6194005,56.3341692159,-2.8145170212,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
